OfficialName;Names
Abyei;Abyei
Afghanistan;Afghanistan
Aksai Chin;Aksai Chin
Albania;Albania
Algeria;Algeria
Andorra;Andorra
Angola;Angola
Antigua and Barbuda;Antigua and Barbuda
Antigua and Barbuda;Antigua
Argentina;Argentina
Armenia;Armenia
Arunachal Pradesh;Arunachal Pradesh
Arunachal Pradesh;Arunachal P.
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bahamas;Bahamas
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Belarus
Belgium;Belgium
Belize;Belize
Benin;Benin
Bhutan;Bhutan
Bolivia;Bolivia
Bosnia and Herzegovina;Bosnia and Herzegovina
Bosnia and Herzegovina;Bosnia Herzeg.
Botswana;Botswana
Brazil;Brazil
Brunei Darussalam;Brunei Darussalam
Brunei Darussalam;Brunei
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Côte d'Ivoire;Côte d'Ivoire
Côte d'Ivoire;Cote d'Ivoire
Côte d'Ivoire;Cote D'Ivoire
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Cape Verde;Cape Verde
Cape Verde;Cabo verde
Cayman Islands;Cayman Islands
Central African Republic;Central African Republic
Central African Republic;Central Africa
Central African Republic;Central African (Rep.)
Chad;Chad
Chile;Chile
China;China
China;China (People's Rep. of)
China/India;China/India
Colombia;Colombia
Comoros;Comoros
Congo;Congo
Congo;Congo (Rep. of the)
Costa Rica;Costa Rica
Croatia;Croatia
Cuba;Cuba
Cyprus;Cyprus
Czech Republic;Czech Republic
Dem People's Rep of Korea;Dem People's Rep of Korea
Dem People's Rep of Korea;North Korea
Dem People's Rep of Korea;Korea, Democratic People's Republic of
Dem People's Rep of Korea;Korea (Dem People's Rep. of)
Democratic Republic of the Congo;Democratic Republic of the Congo
Democratic Republic of the Congo;D.R. Congo
Democratic Republic of the Congo;Congo, The Democratic Republic of the
Democratic Republic of the Congo;Congo (Dem. Rep. of the)
Denmark;Denmark
Djibouti;Djibouti
Dominica;Dominica
Dominican Republic;Dominican Republic
Dominican Republic;Dominican R.
Dominican Republic;Dominican (Rep.)
Ecuador;Ecuador
Egypt;Egypt
El Salvador;El Salvador
Equatorial Guinea;Equatorial Guinea
Equatorial Guinea;Equat. Guinea
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Ethiopia
Falkland Islands (Malvinas);Falkland Islands (Malvinas)
Falkland Islands (Malvinas);Falkland
Falkland Islands (Malvinas);Falkland Islands
Faroe Islands;Faroe Islands
Fiji;Fiji
Finland;Finland
France;France
French Guiana;French Guiana
French Polynesia;French Polynesia
French Southern and Antarctic Territories;French Southern and Antarctic Territories
French Southern and Antarctic Territories;French S.A.T.
Gabon;Gabon
Gambia;Gambia
Gaza Strip;Gaza Strip
Georgia;Georgia
Germany;Germany
Ghana;Ghana
Greece;Greece
Greenland;Greenland
Grenada;Grenada
Guadeloupe;Guadeloupe
Guadeloupe;Guadaloupe
Guam;Guam
Guatemala;Guatemala
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Hala'ib triangle;Hala'ib triangle
Heard Island and McDonald Islands;Heard Island and McDonald Islands
Heard Island and McDonald Islands;Heard Island
Honduras;Honduras
Hong Kong;Hong Kong
Hungary;Hungary
Iceland;Iceland
Ilemi triangle;Ilemi triangle
India;India
Indonesia;Indonesia
Iran (Islamic Republic of);Iran (Islamic Republic of)
Iran (Islamic Republic of);Iran
Iran (Islamic Republic of);Iran, Islamic Republic of
Iraq;Iraq
Ireland;Ireland
Isle of Man;Isle of Man
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Jammu and Kashmir;Jammu and Kashmir
Jammu and Kashmir;Jammu-Kashmi
Japan;Japan
Jordan;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kingman Reef;Kingman Reef
Kiribati;Kiribati
Kuril islands;Kuril islands
Kuwait;Kuwait
Kyrgyzstan;Kyrgyzstan
Lao People's Democratic Republic;Lao People's Democratic Republic
Lao People's Democratic Republic;Laos
Latvia;Latvia
Lebanon;Lebanon
Lesotho;Lesotho
Liberia;Liberia
Libya;Libya
Lithuania;Lithuania
Luxembourg;Luxembourg
Madagascar;Madagascar
Malawi;Malawi
Malaysia;Malaysia
Mali;Mali
Malta;Malta
Martinique;Martinique
Ma'tan al-Sarra;Ma'tan al-Sarra
Mauritania;Mauritania
Mauritius;Mauritius
Mayotte;Mayotte
Mexico;Mexico
Micronesia (Federated States of);Micronesia (Federated States of)
Micronesia (Federated States of);Micronesia
Moldova, Republic of;Moldova, Republic of
Moldova, Republic of;Moldova
Mongolia;Mongolia
Montenegro;Montenegro
Morocco;Morocco
Mozambique;Mozambique
Myanmar;Myanmar
Namibia;Namibia
Nepal;Nepal
Netherlands;Netherlands
Netherlands Antilles;Netherlands Antilles
Netherlands Antilles;Nether. Antilles
New Caledonia;New Caledonia
New Zealand;New Zealand
Nicaragua;Nicaragua
Niger;Niger
Nigeria;Nigeria
Niue;Niue
Norway;Norway
Oman;Oman
Pakistan;Pakistan
Palau;Palau
Panama;Panama
Papua New Guinea;Papua New Guinea
Paraguay;Paraguay
Peru;Peru
Philippines;Philippines
Poland;Poland
Portugal;Portugal
Puerto Rico;Puerto Rico
Qatar;Qatar
Réunion;Réunion
Réunion;Reunion
Republic of Korea;Republic of Korea
Republic of Korea;South Korea
Republic of Korea;Korea, Republic of
Republic of Korea;Korea (Rep. of)
Romania;Romania
Russian Federation;Russian Federation
Russian Federation;Russian Fed.
Russian Federation;Russia
Rwanda;Rwanda
Saint Lucia;Saint Lucia
Saint Lucia;St. Lucia
Saint Pierre et Miquelon;Saint Pierre et Miquelon
Saint Pierre et Miquelon;Saint Pierre
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines
Saint Vincent and the Grenadines;Saint Vincent
Saint Vincent and the Grenadines;St. Vincent and the Grenadines
Samoa;Samoa
Sao Tome and Principe;Sao Tome and Principe
Sao Tome and Principe;Sao Tome and P.
Saudi Arabia;Saudi Arabia
Senegal;Senegal
Serbia;Serbia
Sierra Leone;Sierra Leone
Singapore;Singapore
Slovakia;Slovakia
Slovenia;Slovenia
Solomon Islands;Solomon Islands
Somalia;Somalia
South Africa;South Africa
South Georgia and the South Sandwich Islands;South Georgia and the South Sandwich Islands
South Georgia and the South Sandwich Islands;South Georgia
South Sudan;South Sudan
South Sudan;South Sudan (Rep. of)
Spain;Spain
Sri Lanka;Sri Lanka
Sudan;Sudan
Suriname;Suriname
Svalbard and Jan Mayen Islands;Svalbard and Jan Mayen Islands
Svalbard and Jan Mayen Islands;Svalbard
Swaziland;Swaziland
Swaziland;Eswatini
Sweden;Sweden
Switzerland;Switzerland
Syrian Arab Republic;Syrian Arab Republic
Syrian Arab Republic;Syria
Taiwan;Taiwan
Taiwan;Chinese Taipei
Tajikistan;Tajikistan
Thailand;Thailand
The former Yugoslav Republic of Macedonia;The former Yugoslav Republic of Macedonia
The former Yugoslav Republic of Macedonia;FYR Macedonia
The former Yugoslav Republic of Macedonia;North Macedonia
Timor-Leste;Timor-Leste
Togo;Togo
Tonga;Tonga
Trinidad and Tobago;Trinidad and Tobago
Trinidad and Tobago;Trinidad Tobago
Trinidad and Tobago;Trinidad And Tobago
Tunisia;Tunisia
Turkey;Turkey
Turkmenistan;Turkmenistan
U.K. of Great Britain and Northern Ireland;U.K. of Great Britain and Northern Ireland
U.K. of Great Britain and Northern Ireland;U.K.
U.K. of Great Britain and Northern Ireland;United Kingdom
Uganda;Uganda
Ukraine;Ukraine
United Arab Emirates;United Arab Emirates
United Arab Emirates;U.A.E.
United Republic of Tanzania;United Republic of Tanzania
United Republic of Tanzania;Tanzania
United Republic of Tanzania;Tanzania, United Republic of
United States of America;United States of America
United States of America;USA
United States of America;United States
United States Virgin Islands;United States Virgin Islands
United States Virgin Islands;Virgin Islands
Uruguay;Uruguay
Uzbekistan;Uzbekistan
Vanuatu;Vanuatu
Venezuela;Venezuela
Venezuela;Venezuela, Bolivarian Republic of
Viet Nam;Viet Nam
Viet Nam;Vietnam
West Bank;West Bank
Western Sahara;Western Sahara
Yemen;Yemen
Zambia;Zambia
Zimbabwe;Zimbabwe
